Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.288133306207815	0.0334177206471655	0.00920598388952819
mv_status07_tend6	0.0667836198627181	0.000723976766024764	0.000191791331031837
mcuentas_saldo	0.0443678091325296	0.0151969502867165	0.0172612197928654
mdescubierto_preacordado_tend6	0.0393541995911447	0.00279599732598426	0.00115074798619102
mtarjeta_visa_consumo	0.0353235083877293	0.0295387863215813	0.0190512722158292
cpayroll_trx	0.0241959767382929	0.021528661606931	0.00722414013553254
foto_mes	0.0236311225873127	0.0159413686223437	0.0184119677790564
mcaja_ahorro	0.0231012802926605	0.0099160297144139	0.0120189234113285
mprestamos_personales	0.0203509268085552	0.0107719186360337	0.00594553126198696
ctrx_quarter	0.0187666200931532	0.00344758062406021	0.0058176703746324
mpasivos_margen	0.0139742617117431	0.00514263115018001	0.00505050505050505
mpayroll	0.012642640570717	0.0171822508441545	0.00626518348037335
mprestamos_personales_tend6	0.0124782667941648	0.00726976888603421	0.00396368750799131
mdescubierto_preacordado	0.0106962433214998	0.000492629848942915	0.000639304436772791
ccomisiones_mantenimiento_tend6	0.0104263148604574	0.00341649948549232	0.00383582662063675
mpayroll_sobre_edad	0.0099576832398693	0.0241353351914434	0.0106763840941056
cprestamos_personales_tend6	0.00958495210813276	0.000638215504058242	0.00070323488045007
mdescubierto_preacordado_delta1	0.00771538194637871	0.00443159021306042	0.00147040020457742
mv_status07_avg6	0.00513106762098626	0.000118604947690567	0.000383582662063675
cproductos_delta1	0.00467027290011738	0.00292487231359862	0.00140646976090014
Master_fechaalta	0.00452534295102324	0.00359758675299305	0.00607339214934152
ccaja_ahorro	0.00451347644766638	0.00797385213241194	0.00498657460682777
Visa_status	0.00443359580967275	0.00142361410166722	0.000255721774709117
tcallcenter_tend6	0.00429351119946612	0.00309461517826719	0.00236542641605933
mcuentas_saldo_tend6	0.00409308555326458	0.00265140694808752	0.00498657460682777
tmobile_app	0.00401860423112748	0.00551916228156597	0.00415547883902314
mcaja_ahorro_dolares_delta1	0.00382693095315679	0.00818106403943241	0.00338831351489579
mactivos_margen	0.00364462802138153	0.00653111964335528	0.00920598388952819
mcomisiones_mantenimiento_tend6	0.00357284345241449	0.00614207817332488	0.00588160081830968
ctarjeta_visa_trx_tend6	0.00341861761724736	0.00258409623879684	0.00351617440225035
mcuenta_corriente	0.00324912171036309	0.00225153952585788	0.00383582662063675
cproductos_tend6	0.00319445712263455	0.00555612119809439	0.00281293952180028
mprestamos_personales_lag1	0.00311953419049301	0.000213960090057844	0.000575373993095512
mv_status06_tend6	0.0030693453356607	0.000715966449377008	0.000319652218386396
mactivos_margen_avg6	0.00296799659539386	0.00487908109521228	0.00600946170566424
Visa_fechaalta_tend6	0.0028977788073523	0.00522289803791008	0.00409154839534586
mcuenta_corriente_tend6	0.00284696762609194	0.00425270624512724	0.00620125303669607
mcuenta_corriente_avg6	0.00278430061236331	0.00570748935835099	0.00805523590333717
internet	0.00267446859216944	0.0060073526946254	0.00396368750799131
mprestamos_personales_delta1	0.00260931620789486	0.00667647220380604	0.00210970464135021
mrentabilidad_avg6	0.00255972938743805	0.00272976051711252	0.00383582662063675
mv_fechaalta_tend6	0.00254867739240977	0.00192114911333336	0.00287686996547756
mtarjeta_visa_debitos_automaticos_tend6	0.00249352610329975	0.00632849933123545	0.0046029919447641
cproductos	0.00243473298848987	0.0168271468473119	0.00946170566423731
cliente_edad_avg6	0.00242117056886017	0.0092133774102826	0.00882240122746452
mcomisiones_mantenimiento	0.00240109060121793	0.00523516094471812	0.00319652218386396
thomebanking	0.0022887571072159	0.00168911123706723	0.00179005242296382
ctarjeta_visa_trx_lag1	0.00227765019526637	0.00042887475826586	0.00166219153560926
Visa_fultimo_cierre_tend6	0.00222020242111224	0.00136672189140218	0.00210970464135021
