archivo	iteracion_bayesiana	ganancia	corte
8102ZZb_026_09000.csv	26	14672000	9000
8102ZZb_026_09500.csv	26	14672000	9500
8102ZZb_026_10000.csv	26	14672000	10000
8102ZZb_026_10500.csv	26	14672000	10500
8102ZZb_026_11000.csv	26	14672000	11000
8102ZZb_026_11500.csv	26	14672000	11500
8102ZZb_026_12000.csv	26	14672000	12000
8102ZZb_026_12500.csv	26	14672000	12500
8102ZZb_026_13000.csv	26	14672000	13000
8102ZZb_026_13500.csv	26	14672000	13500
8102ZZb_026_14000.csv	26	14672000	14000
8102ZZb_026_14500.csv	26	14672000	14500
8102ZZb_026_15000.csv	26	14672000	15000
8102ZZb_055_09000.csv	55	14646000	9000
8102ZZb_055_09500.csv	55	14646000	9500
8102ZZb_055_10000.csv	55	14646000	10000
8102ZZb_055_10500.csv	55	14646000	10500
8102ZZb_055_11000.csv	55	14646000	11000
8102ZZb_055_11500.csv	55	14646000	11500
8102ZZb_055_12000.csv	55	14646000	12000
8102ZZb_055_12500.csv	55	14646000	12500
8102ZZb_055_13000.csv	55	14646000	13000
8102ZZb_055_13500.csv	55	14646000	13500
8102ZZb_055_14000.csv	55	14646000	14000
8102ZZb_055_14500.csv	55	14646000	14500
8102ZZb_055_15000.csv	55	14646000	15000
