Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.103902708989137	0.00770415008360792	0.00427167876975652
ctrx_quarter	0.0776581802461691	0.00362549287227396	0.00341734301580521
mtarjeta_visa_consumo	0.0556017388663524	0.00578631871265968	0.00350277659120034
mcaja_ahorro	0.0546555337166014	0.00370418173964734	0.00449950163747686
mv_status07_tend6	0.0379320355588438	0.00106712174907559	0.000427167876975651
mcuentas_saldo	0.0337817213666455	0.00882785870328767	0.0104513740566709
mdescubierto_preacordado_tend6	0.0326414603989668	0.00140641081574012	0.00133845934785704
mv_status06_tend6	0.0189382753471698	0.000918734881961648	0.000398690018510608
ctrx_quarter_normalizado_lag1	0.0166610705004027	0.000645343401892913	0.00173714936636765
mpasivos_margen	0.0158266066415184	0.00548141170922507	0.0047842802221273
cpayroll_trx	0.0158189096847119	0.00454914982737841	0.00270539655417913
mprestamos_personales_tend6	0.0144040179039565	0.00572116813829299	0.00472732450519721
mv_status04	0.013648764758079	0.000191084000296311	0.000256300726185391
mpayroll_sobre_edad	0.0130500482236603	0.00469474482499569	0.00304713085575965
mprestamos_personales	0.0127588422218574	0.0073438916030276	0.00535383739142816
ctrx_quarter_avg6	0.0110901125742227	0.000504843947172746	0.00116759219706678
mpayroll	0.0109687678828111	0.00590601500302582	0.00330343158194504
mdescubierto_preacordado	0.00969524568356659	0.000613069881731487	0.000968247187811476
ctrx_quarter_lag1	0.00952299762417113	0.00246641259100774	0.00207888366794817
ccomisiones_mantenimiento_tend6	0.00945456998098357	0.00679752895683415	0.00424320091129147
foto_mes	0.00937994646761532	0.00689234051416944	0.00962551616118468
mcuenta_corriente	0.00907698814479019	0.00407457656832283	0.00592339456072903
ctarjeta_visa_trx	0.0079718465497139	0.00239189279857645	0.00239214011106365
mdescubierto_preacordado_delta1	0.00690767244347141	0.00315781890832076	0.00202192795101808
cproductos_tend6	0.00577059717321188	0.00300034558316153	0.00250605154492382
mv_msaldopesos	0.00576496092693152	0.000420457915900876	0.000968247187811476
mprestamos_personales_lag1	0.00553257721795572	0.000586802759527206	0.00105368076320661
cprestamos_personales_tend6	0.00492049372571475	0.00408453302871475	0.00182258294176278
mes	0.00484109447421374	0.00405418797878543	0.00538231524989321
mcaja_ahorro_lag1	0.0046569557405792	0.00429324485141971	0.00424320091129147
mactivos_margen	0.00414397652819638	0.00432340254660905	0.00526840381603303
ccaja_ahorro	0.00410305842146889	0.00270919872394911	0.00256300726185391
tcallcenter_tend6	0.00405584649115002	0.00475264237653616	0.00273387441264417
mcuenta_corriente_tend6	0.0038942748805738	0.003489171749153	0.00512601452370782
mcaja_ahorro_dolares_delta1	0.00372736529493325	0.005889483847641	0.0041292894774313
mcomisiones_mantenimiento_tend6	0.00358902333221987	0.00732284659307871	0.00612273956998434
cproductos_delta1	0.00346534349181305	0.00241242320010085	0.001309981489392
cprestamos_personales_avg6	0.00325198602121162	0.00335212903875447	0.00230670653566852
mcuenta_corriente_avg6	0.00308820209389915	0.00619095798892933	0.0078029332194219
mactivos_margen_avg6	0.00290419093641512	0.00441836609825414	0.00378755517585078
mvr_msaldopesos2	0.00290012132568225	0.00190749625156931	0.00176562722483269
Visa_fechaalta_tend6	0.00270249526715995	0.00668142208954162	0.0043286344866866
mrentabilidad_avg6	0.00269881558507486	0.00348895397086663	0.00418624519436138
cliente_edad_lag1	0.00252505596579694	0.0028022314603423	0.00598035027765912
mprestamos_personales_avg6	0.0025220953333777	0.000542511444856648	0.00125302577246191
cliente_edad_avg6	0.00251020982742447	0.00387393667404345	0.00620817314537947
Visa_status	0.00250620801814841	0.00076573573116299	0.000455645735440695
mtarjeta_visa_debitos_automaticos_tend6	0.00247445131858015	0.00606442226317682	0.00447102377901182
cprestamos_personales	0.0023593974301894	0.00102553393368177	0.00116759219706678
cliente_edad	0.00232697262009651	0.00269276056711276	0.0062936067207746
ccomisiones_mantenimiento_delta1	0.00230574785046367	0.00262487847665379	0.00224975081873843
Master_fechaalta	0.00229698980573869	0.0025305349359022	0.00373059945892069
mv_msaldototal	0.0022665337844266	0.000550262599257705	0.00122454791399687
Visa_msaldopesos	0.00222791105488445	0.000862581222910428	0.00205040580948313
cpayroll_trx_lag1	0.00222725567971115	0.000413617678270894	0.000284778584650434
cproductos	0.00215250113197831	0.00224311579422068	0.002619962978784
thomebanking_tend6	0.00210213254124713	0.00398371229642519	0.00327495372347999
mrentabilidad_annual	0.00205460562028697	0.00218947877339459	0.0036736437419906
mactivos_margen_tend6	0.00201479187083035	0.00261010238345781	0.00458493521287199
ccaja_ahorro_avg6	0.00200204667281437	0.00148006764088419	0.00205040580948313
mcomisiones_mantenimiento	0.00199654846847804	0.00382157269041474	0.00318952014808486
mcuentas_saldo_tend6	0.00198363236399602	0.00290687426635427	0.00324647586501495
ccaja_ahorro_tend6	0.00197266365751328	0.00288585856915291	0.00133845934785704
mtransferencias_emitidas_avg6	0.00196799756153805	0.00177732222759363	0.00327495372347999
mvr_mpagominimo_avg6	0.00193554350169604	0.00280094293367202	0.00341734301580521
thomebanking	0.00192173869850019	0.00222276509526639	0.00173714936636765
