lote	time	secs	mem	CPU	GB
1	20220603 235925	0	46	59	15999
1	20220604 000430	305	46	2	15999
1	20220604 000905	580	52	0	15999
1	20220604 000910	585	65	14	15999
1	20220604 000915	590	79	15	15999
1	20220604 000920	595	93	15	15999
1	20220604 000925	600	99	16	15999
1	20220604 000930	605	34	7	15999
1	20220604 001435	910	34	0	15999
1	20220604 001930	1205	40	0	15999
1	20220604 001935	1210	52	14	15999
1	20220604 001940	1215	64	14	15999
1	20220604 001945	1220	78	15	15999
1	20220604 001950	1225	92	15	15999
1	20220604 001955	1230	99	16	15999
1	20220604 002000	1235	25	9	15999
1	20220604 002505	1540	25	0	15999
2	20220701 000717	0	1	6	128822
2	20220701 001037	200	12	8	128822
2	20220701 001047	210	19	43	128822
2	20220701 001057	220	17	26	128822
2	20220701 001107	230	12	31	128822
2	20220701 001122	245	21	17	128822
2	20220701 001127	250	26	12	128822
2	20220701 001132	255	31	12	128822
2	20220701 001637	560	38	93	128822
2	20220701 002142	865	38	99	128822
2	20220701 002647	1170	38	99	128822
2	20220701 003152	1475	38	99	128822
2	20220701 003657	1780	38	99	128822
2	20220701 004202	2085	38	99	128822
2	20220701 004707	2390	38	99	128822
2	20220701 005212	2695	38	99	128822
2	20220701 005447	2850	30	47	128822
2	20220701 005452	2855	36	12	128822
2	20220701 005957	3160	38	94	128822
2	20220701 010502	3465	17	77	128822
