archivo	iteracion_bayesiana	ganancia	corte
8120ZZa_060_09000.csv	60	15794000	9000
8120ZZa_060_09500.csv	60	15794000	9500
8120ZZa_060_10000.csv	60	15794000	10000
8120ZZa_060_10500.csv	60	15794000	10500
8120ZZa_060_11000.csv	60	15794000	11000
8120ZZa_060_11500.csv	60	15794000	11500
8120ZZa_060_12000.csv	60	15794000	12000
8120ZZa_060_12500.csv	60	15794000	12500
8120ZZa_060_13000.csv	60	15794000	13000
8120ZZa_060_13500.csv	60	15794000	13500
8120ZZa_060_14000.csv	60	15794000	14000
8120ZZa_060_14500.csv	60	15794000	14500
8120ZZa_060_15000.csv	60	15794000	15000
8120ZZa_semillerio_060_09000.csv	60	15794000	9000
8120ZZa_semillerio_060_09500.csv	60	15794000	9500
8120ZZa_semillerio_060_10000.csv	60	15794000	10000
8120ZZa_semillerio_060_10500.csv	60	15794000	10500
8120ZZa_semillerio_060_11000.csv	60	15794000	11000
8120ZZa_semillerio_060_11500.csv	60	15794000	11500
8120ZZa_semillerio_060_12000.csv	60	15794000	12000
8120ZZa_semillerio_060_12500.csv	60	15794000	12500
8120ZZa_semillerio_060_13000.csv	60	15794000	13000
8120ZZa_semillerio_060_13500.csv	60	15794000	13500
8120ZZa_semillerio_060_14000.csv	60	15794000	14000
8120ZZa_semillerio_060_14500.csv	60	15794000	14500
8120ZZa_semillerio_060_15000.csv	60	15794000	15000
