archivo	iteracion_bayesiana	ganancia	corte
8101KAa_032_09000.csv	32	15320000	9000
8101KAa_032_09500.csv	32	15320000	9500
8101KAa_032_10000.csv	32	15320000	10000
8101KAa_032_10500.csv	32	15320000	10500
8101KAa_032_11000.csv	32	15320000	11000
8101KAa_032_11500.csv	32	15320000	11500
8101KAa_032_12000.csv	32	15320000	12000
8101KAa_022_09000.csv	22	15286000	9000
8101KAa_022_09500.csv	22	15286000	9500
8101KAa_022_10000.csv	22	15286000	10000
8101KAa_022_10500.csv	22	15286000	10500
8101KAa_022_11000.csv	22	15286000	11000
8101KAa_022_11500.csv	22	15286000	11500
8101KAa_022_12000.csv	22	15286000	12000
8101KAa_008_09000.csv	8	15258000	9000
8101KAa_008_09500.csv	8	15258000	9500
8101KAa_008_10000.csv	8	15258000	10000
8101KAa_008_10500.csv	8	15258000	10500
8101KAa_008_11000.csv	8	15258000	11000
8101KAa_008_11500.csv	8	15258000	11500
8101KAa_008_12000.csv	8	15258000	12000
8101KAa_041_09000.csv	41	15150000	9000
8101KAa_041_09500.csv	41	15150000	9500
8101KAa_041_10000.csv	41	15150000	10000
8101KAa_041_10500.csv	41	15150000	10500
8101KAa_041_11000.csv	41	15150000	11000
8101KAa_041_11500.csv	41	15150000	11500
8101KAa_041_12000.csv	41	15150000	12000
8101KAa_042_09000.csv	42	15094000	9000
8101KAa_042_09500.csv	42	15094000	9500
8101KAa_042_10000.csv	42	15094000	10000
8101KAa_042_10500.csv	42	15094000	10500
8101KAa_042_11000.csv	42	15094000	11000
8101KAa_042_11500.csv	42	15094000	11500
8101KAa_042_12000.csv	42	15094000	12000
