Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.257570178276027	0.0201779798230137	0.00968606762950791
mtarjeta_visa_consumo	0.055515911157463	0.0120290104863973	0.00709158522874687
mdescubierto_preacordado_tend6	0.0450171543213119	0.00227493128607244	0.0019891031739168
mcuentas_saldo	0.0417887419169093	0.0100449504158941	0.0136642739773415
mcaja_ahorro	0.0403478240316136	0.00512522761058543	0.00748075758886102
cpayroll_trx	0.0315196999887272	0.0142113032545056	0.0069186197353628
foto_mes	0.0302753503209295	0.0290446021002859	0.0328634437429733
mprestamos_personales	0.023037069934178	0.0102273018690636	0.00856179192251146
mv_status06_tend6	0.022918447799309	0.000562840423783247	0.000216206866730087
mpasivos_margen	0.0177646530885903	0.00507095270658677	0.00614027501513448
mv_status07_tend6	0.016691811674341	0.00201630092821019	0.000778344720228314
mprestamos_personales_tend6	0.0136594939401376	0.00747357456320686	0.00670241286863271
cproductos_tend6	0.0131623629666099	0.00512883372612937	0.00337282712098936
ccomisiones_mantenimiento_tend6	0.012062270314615	0.00536263944551894	0.00449710282798582
mv_status07	0.010009779791572	3.96597595839616e-05	8.64827466920349e-05
mpayroll_sobre_edad	0.00842357812247882	0.00586094267683836	0.00259448240076105
mdescubierto_preacordado	0.00839516657201802	0.00127264609818511	0.00147020669376459
mdescubierto_preacordado_delta1	0.00655194855040584	0.00409619025183489	0.00229179278733893
mv_status04_tend6	0.00647002388571172	0.00157926893289756	0.000864827466920349
mpayroll	0.00637473537302448	0.00747686702417319	0.00380524085444954
mcuentas_saldo_tend6	0.0059756249007856	0.00297527130956785	0.00553489578829024
mactivos_margen	0.00505552991838394	0.00610708157750635	0.0102482054830061
ccaja_ahorro	0.0045494660024215	0.00657355385891433	0.00441062008129378
mcuenta_corriente_tend6	0.00434957026293446	0.00317929261346406	0.00622675776182652
tmobile_app	0.00423572294004893	0.0105408038579536	0.00834558505578137
Visa_fechaalta_tend6	0.00415226096284488	0.00554348915533793	0.00687537836201678
ctarjeta_visa_trx	0.00404230877440906	0.00260118816766407	0.00276744789414512
mcaja_ahorro_dolares_delta1	0.00398222620947389	0.00793750466514238	0.00497275793479201
internet	0.00394342255155251	0.00932361356305781	0.00713482660209288
tcallcenter_tend6	0.00359743537939907	0.00458356353858861	0.00337282712098936
cproductos_delta1	0.0035830307099152	0.000790452457842918	0.000778344720228314
mcomisiones_mantenimiento_tend6	0.00354436557074622	0.00800998290904684	0.0101184813629681
mcuenta_corriente_avg6	0.00351569280098836	0.00648997687856919	0.0104211709763902
mrentabilidad_avg6	0.00338818812678364	0.00327857689569596	0.00419441321456369
