archivo	iteracion_bayesiana	ganancia	corte
8102ZZa_023_09000.csv	23	117209000	9000
8102ZZa_023_09500.csv	23	117209000	9500
8102ZZa_023_10000.csv	23	117209000	10000
8102ZZa_023_10500.csv	23	117209000	10500
8102ZZa_023_11000.csv	23	117209000	11000
8102ZZa_023_11500.csv	23	117209000	11500
8102ZZa_023_12000.csv	23	117209000	12000
8102ZZa_023_12500.csv	23	117209000	12500
8102ZZa_023_13000.csv	23	117209000	13000
8102ZZa_023_13500.csv	23	117209000	13500
8102ZZa_023_14000.csv	23	117209000	14000
8102ZZa_023_14500.csv	23	117209000	14500
8102ZZa_023_15000.csv	23	117209000	15000
8102ZZa_014_09000.csv	14	116892000	9000
8102ZZa_014_09500.csv	14	116892000	9500
8102ZZa_014_10000.csv	14	116892000	10000
8102ZZa_014_10500.csv	14	116892000	10500
8102ZZa_014_11000.csv	14	116892000	11000
8102ZZa_014_11500.csv	14	116892000	11500
8102ZZa_014_12000.csv	14	116892000	12000
8102ZZa_014_12500.csv	14	116892000	12500
8102ZZa_014_13000.csv	14	116892000	13000
8102ZZa_014_13500.csv	14	116892000	13500
8102ZZa_014_14000.csv	14	116892000	14000
8102ZZa_014_14500.csv	14	116892000	14500
8102ZZa_014_15000.csv	14	116892000	15000
