Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.199661717207593	0.0125000944605895	0.00403927417350236
mdescubierto_preacordado_tend6	0.078288794095577	0.00264951503175952	0.00124285359184688
ctrx_quarter	0.0574311088091063	0.00205928114228803	0.00198856574695501
mcuentas_saldo	0.0380692488899679	0.00876952103288639	0.0100671140939597
mtarjeta_visa_consumo	0.0297917018202564	0.00933282498601462	0.00503355704697987
mprestamos_personales	0.0253876827518328	0.00659517676175636	0.00664926671638081
foto_mes	0.0237603269641265	0.0182271172905206	0.0200720855083271
mcaja_ahorro	0.0198742585613708	0.00376986372540631	0.0046607009694258
cpayroll_trx	0.0163278223696746	0.00770153970942998	0.00335570469798658
mv_status07	0.0120408393285393	3.44228606204037e-05	6.2142679592344e-05
mpayroll	0.0114614039404332	0.0076727674380782	0.00360427541635595
mprestamos_personales_tend6	0.0109848936555077	0.00497353299318502	0.00478498632861049
mpayroll_sobre_edad	0.0098259712011734	0.00518798826521821	0.00217499378573204
mpasivos_margen	0.00917184449530565	0.00479269476601833	0.00459855828983346
ccomisiones_mantenimiento_tend6	0.00890786309528302	0.00524461909808736	0.00428784489187174
mdescubierto_preacordado	0.00692668610173891	0.000436109810487035	0.00093214019388516
cproductos_tend6	0.00680806853244872	0.00326692079600616	0.00323141933880189
mv_status07_tend6	0.00562410383279272	0.00180524268951803	0.000683569475515784
mpasivos_margen_lag1	0.00481953553133418	0.000413426097014342	0.00205070842654735
cproductos_delta1	0.004748824483686	0.00211017228126193	0.00111856823266219
mcuenta_corriente	0.0045057054473401	0.00412941716515727	0.00577926920208799
mdescubierto_preacordado_delta1	0.0043328151207289	0.00113663140193004	0.00105642555306985
internet	0.0043105786547431	0.0123970990037795	0.0052199850857569
mcuentas_saldo_tend6	0.00416662308686771	0.00305551968190374	0.00503355704697987
tmobile_app	0.00404021409781986	0.00563921951825658	0.0052199850857569
mcaja_ahorro_dolares_delta1	0.00390553742893354	0.00528412169724878	0.00472284364901815
tcallcenter_tend6	0.00379252329310566	0.0053616188966187	0.00298284862043251
cprestamos_personales_tend6	0.00376496547931779	0.00220825381161874	0.00111856823266219
Visa_fechaalta_tend6	0.00375746630803039	0.00498229410874603	0.00410141685309471
ccaja_ahorro	0.00374868294416904	0.00218178412004262	0.00285856326124783
mactivos_margen	0.00361673288186147	0.00551345337411006	0.00515784240616455
mcomisiones_mantenimiento_tend6	0.00360748113383387	0.00827128553965249	0.00720855083271191
mv_msaldopesos	0.00357841854508661	0.000241500850685357	0.00105642555306985
mes	0.0035359543465879	0.00108415962436192	0.00124285359184688
mv_status01	0.00350221661179548	0.000647609327090173	0.000497141436738752
mactivos_margen_avg6	0.0034789562359309	0.0041921016888777	0.00484712900820283
mprestamos_personales_delta1	0.00344103343167756	0.0065232040492378	0.00403927417350236
mrentabilidad_avg6	0.00343678370496632	0.00279606521748002	0.00484712900820283
ctarjeta_visa_trx_tend6	0.00338462589880184	0.00295792415917351	0.00323141933880189
ctarjeta_visa_trx	0.00326587426637524	0.00216041973616125	0.00292070594084017
mprestamos_personales_lag1	0.00317300986834383	0.000332486940882095	0.00105642555306985
mcuenta_corriente_avg6	0.00306620043674427	0.00421188020411068	0.0067735520755655
Visa_fechaalta_avg6	0.00282504426548633	0.00186723762091059	0.00360427541635595
mcuenta_corriente_tend6	0.00280038767037892	0.00227396614929336	0.00590355456127268
mv_fechaalta_tend6	0.00279514666698251	0.00110009811759836	0.00217499378573204
mactivos_margen_tend6	0.0027319045928477	0.00246040034071843	0.00633855331841909
mtarjeta_visa_debitos_automaticos_tend6	0.00272124743550623	0.005938985496887	0.00497141436738752
mrentabilidad_annual_tend6	0.00267329913196073	0.00451717706188089	0.00627641063882675
cliente_edad	0.00258168223277297	0.00309952400176732	0.00671140939597315
cliente_edad_lag1	0.00256844936748038	0.00283477420434727	0.00627641063882675
cliente_edad_avg6	0.00253720748617502	0.0031035513371855	0.00571712652249565
Visa_status	0.00244066232650987	0.000559546062352766	0.00031071339796172
mcomisiones_mantenimiento	0.00233499469346064	0.00443812401824765	0.00347999005717127
Master_fechaalta	0.00231084568123129	0.00360199273958921	0.00410141685309471
thomebanking	0.00227610636894785	0.00204647545150064	0.0021128511061397
mcomisiones_mantenimiento_avg6	0.00220590107864707	0.00250687963843965	0.00273427790206314
numero_de_cliente	0.00211490174050141	0.00260325190961074	0.00689783743475019
cproductos	0.00206079890229585	0.00213885254240143	0.00304499130002486
Visa_Finiciomora	0.00205869890056217	0.00354774216248547	0.0015535669898086
ctrx_quarter_delta1	0.00205525030957945	0.00114525440531976	0.00347999005717127
