fecha	cp	minsplit	minbucket	maxdepth	xval_folds	ganancia	iteracion
20220517 183702	-0.381761555741832	3852	149	14	5	9786000	1
20220517 183750	-0.535065124639368	5385	844	6	5	9133000	2
20220517 183858	-0.925573377578985	2399	1156	16	5	9686000	3
20220517 183949	-0.473890878194652	5832	67	8	5	8870000	4
20220517 184050	-0.180007198157546	6942	1291	15	5	8267000	5
20220517 184147	-0.733096636318078	4987	1549	17	5	8693000	6
20220517 184303	-0.286685858004785	3012	340	11	5	9923000	7
20220517 184332	-0.659250354481628	7418	1871	5	5	8250000	8
20220517 184424	-0.987280756320979	6045	562	10	5	9359000	9
20220517 184509	-0.0923311760896467	7887	500	8	5	8174000	10
20220517 184600	-0.345728327258257	4049	963	20	5	9796000	11
20220517 184653	-0.495186946215108	4516	251	9	5	9252000	12
20220517 184729	-0.713669718261808	1148	509	5	5	10651000	13
20220517 184755	0.0596369845187292	5074	1955	11	5	0	14
20220517 184852	-0.98129306552466	7423	1440	15	5	8279000	15
20220517 184924	-0.592749778064899	6862	1442	3	5	8518000	16
20220517 184954	-0.890055058298132	5	1	3	5	9083000	17
20220517 185129	-0.659911011440648	360	176	20	5	8039000	18
20220517 185200	-0.774704282174429	2263	1005	3	5	9017000	19
20220517 185327	-0.247152895972141	8000	268	20	5	8284000	20
20220517 185358	-0.380042231563102	1057	527	3	5	9069000	21
20220517 185459	-0.754486549038895	1145	566	11	5	10715000	22
20220517 185552	-0.845067437335215	1045	517	8	5	10165000	23
20220517 185649	-0.70690448222777	1086	536	9	5	10153000	24
20220517 185758	-0.969491582952505	769	383	12	5	10193000	25
20220517 185917	-0.550617127846222	1331	660	15	5	10557000	26
20220517 190037	-0.722262855411478	2160	565	13	5	10694000	27
20220517 190140	-0.580332097581306	7999	905	17	5	8284000	28
20220517 190308	-0.272695769976955	1182	587	16	5	10815000	29
20220517 190519	-0.345386522947857	1146	571	14	5	10770000	30
20220517 190632	-0.762897178380702	7995	438	4	5	8284000	31
20220517 190903	-0.177653643476509	1287	639	15	5	10657000	32
20220517 190951	0.0996532243326314	1073	536	19	5	0	33
20220517 191309	-0.826772298261052	1592	1	13	5	9398000	34
20220517 191623	-0.199657928742852	24	9	12	5	8172000	35
20220517 191913	-0.318889380120764	2059	709	15	5	10823000	36
20220517 192212	-0.42799495290208	1829	646	15	5	10774000	37
20220517 192350	-0.782007193781488	1207	596	14	5	11104000	38
