fecha	num.trees	max.depth	min.node.size	mtry	xval_folds	ganancia	iteracion
20220525 134905	460	11	8826	10	5	10672000	1
20220525 135951	500	13	8681	17	5	10809000	2
20220525 141604	911	25	16820	16	5	9919000	3
20220525 141754	187	4	11641	13	5	9904000	4
20220525 142619	566	14	607	8	5	11659000	5
20220525 143325	610	22	17589	11	5	9630000	6
20220525 143358	222	1	15357	4	5	0	7
20220525 144919	953	17	4991	11	5	11534000	8
20220525 145151	292	16	12895	6	5	9392000	9
20220525 145529	686	4	5766	6	5	9282000	10
20220525 151320	742	24	7451	17	5	10746000	11
20220525 152053	389	7	2823	18	5	11001000	12
20220525 152438	793	27	14785	2	5	7362000	13
20220525 152756	112	30	10906	20	5	10667000	14
20220525 153118	365	21	1649	3	5	10661000	15
20220525 154315	880	9	19394	14	5	9477000	16
20220525 154506	100	21	4695	8	5	10743000	17
20220525 155832	1000	6	1302	13	5	11298000	18
20220525 160114	100	18	11585	14	5	10043000	19
20220525 161348	1000	15	3331	7	5	10975000	20
20220525 162737	555	17	7	12	5	10446000	21
20220525 163532	816	4	5992	15	5	10150000	22
20220525 164002	378	7	5	9	5	11237000	23
20220525 170320	1000	19	4757	15	5	11185000	24
20220525 173520	1000	16	3965	20	5	11346000	25
20220525 180408	1000	18	12084	20	5	10456000	26
20220525 183718	1000	30	3468	20	5	11337000	27
20220525 184917	750	11	3000	11	5	11334000	28
20220525 190444	1000	30	5845	11	5	11081000	29
20220525 191021	407	16	3	6	5	10829000	30
20220525 194033	1000	12	19	18	5	11146000	31
20220525 195641	1000	9	446	9	5	11594000	32
20220525 201020	1000	21	10297	9	5	10378000	33
20220525 201236	100	7	12254	20	5	10389000	34
20220525 202409	668	30	1009	8	5	11558000	35
20220525 204246	1000	24	1253	9	5	11553000	36
20220525 204804	112	30	1678	20	5	10902000	37
20220525 210200	783	14	1521	9	5	11715000	38
20220525 213651	1000	30	1220	17	5	11165000	39
20220525 214529	627	25	4843	8	5	10840000	40
20220525 215520	1000	30	1	2	5	11521000	41
20220525 221349	1000	30	10	8	5	10359000	42
20220525 221759	490	30	911	2	5	10639000	43
20220525 222024	1000	1	3	2	5	0	44
20220525 222746	349	30	1	9	5	9374000	45
20220525 224714	687	30	6032	18	5	10928000	46
20220525 231054	976	22	24	11	5	10525000	47
20220525 232115	876	30	1835	5	5	11298000	48
20220525 233302	674	20	1652	8	5	11739000	49
20220526 000020	676	23	1609	20	5	11198000	50
20220526 000206	100	9	2141	8	5	10789000	51
20220526 002137	822	30	2754	13	5	11450000	52
20220526 003456	1000	8	5627	10	5	11150000	53
20220526 004259	1000	27	1209	2	5	10873000	54
20220526 004638	100	16	4764	20	5	10557000	55
20220526 010445	996	10	877	11	5	11669000	56
20220526 011409	650	9	1071	9	5	11641000	57
20220526 014703	1000	24	2848	18	5	11393000	58
20220526 015833	682	23	1296	7	5	11361000	59
20220526 021828	1000	6	745	20	5	10833000	60
20220526 022354	199	16	20000	20	5	9448000	61
20220526 023310	575	17	2116	8	5	11660000	62
20220526 024612	759	30	2533	9	5	11597000	63
20220526 024925	284	16	6705	6	5	10385000	64
20220526 031117	1000	16	2451	12	5	11310000	65
20220526 031739	732	30	284	2	5	11078000	66
20220526 034234	1000	28	3577	15	5	11292000	67
20220526 035951	1000	18	1769	9	5	11653000	68
20220526 040844	1000	30	1165	3	5	10945000	69
20220526 041433	701	6	12	8	5	10850000	70
20220526 042908	1000	14	11089	13	5	10454000	71
20220526 043005	247	1	1	16	5	-4000	72
20220526 043527	524	6	8924	13	5	10289000	73
20220526 045505	941	9	15	16	5	11343000	74
20220526 045830	100	24	2714	20	5	11147000	75
20220526 050705	319	10	4	20	5	10837000	76
20220526 051532	660	19	3807	8	5	11405000	77
20220526 051909	100	21	4743	20	5	10662000	78
20220526 055949	894	27	7	20	5	8888000	79
20220526 062727	871	17	1150	8	5	11558000	80
20220526 064426	1000	13	93	9	5	11368000	81
20220526 065155	657	30	5118	7	5	10504000	82
20220526 070535	628	29	1887	11	5	11448000	83
20220526 073514	993	9	3601	20	5	11342000	84
20220526 074213	402	13	1883	9	5	11366000	85
20220526 075237	590	23	1748	9	5	11757000	86
20220526 081450	1000	30	10296	17	5	10749000	87
20220526 083319	612	14	2535	20	5	11403000	88
20220526 084758	902	24	2776	10	5	11497000	89
20220526 084918	100	7	18689	14	5	9318000	90
20220526 090035	880	10	1728	9	5	11712000	91
20220526 091128	1000	5	14788	18	5	9863000	92
20220526 092742	650	30	2699	15	5	11249000	93
20220526 093014	100	30	19999	20	5	9499000	94
20220526 094052	639	15	2175	9	5	11644000	95
20220526 100845	900	10	1656	18	5	11458000	96
20220526 101845	542	20	1593	8	5	11485000	97
20220526 103147	684	17	2004	9	5	11419000	98
20220526 103707	283	8	5235	11	5	10934000	99
20220526 104554	1000	20	1057	2	5	10737000	100
20220526 110038	942	20	2430	8	5	11386000	101
20220526 110939	608	13	2268	8	5	11518000	102
20220526 111544	447	10	1496	8	5	11752000	103
20220526 112711	422	11	4985	20	5	11359000	104
20220526 112849	100	18	1411	2	5	10591000	105
20220526 114121	838	8	1452	10	5	11608000	106
20220526 115126	622	21	1689	8	5	11506000	107
20220526 115243	100	24	6	2	5	10193000	108
20220526 115549	100	23	13991	20	5	10356000	109
20220526 120719	642	24	1415	9	5	11596000	110
20220526 121400	462	9	1842	9	5	11469000	111
20220526 122958	672	30	186	10	5	11078000	112
20220526 125857	1000	15	4861	17	5	10933000	113
20220526 131236	749	23	2219	9	5	11651000	114
20220526 133438	1000	24	5020	14	5	11131000	115
20220526 134757	774	29	2174	9	5	11605000	116
