Feature	Gain	Cover	Frequency
ctrx_quarter	0.211813299368674	0.0179731559478434	0.0135808534531162
mtarjeta_visa_consumo	0.0396837862751052	0.0125112498764518	0.015914514317799
mcuentas_saldo	0.034204952243871	0.0124887632839324	0.0191869034250421
mcuenta_corriente	0.0313149366408664	0.00658344379947741	0.00983471364402021
mcaja_ahorro	0.0268583910974885	0.00727668428012212	0.0124491156653565
foto_mes	0.0194190127439857	0.0147514826590524	0.0163794918585065
mpayroll	0.0184239104228767	0.0135417456573292	0.00583415216170691
mprestamos_personales	0.0169023853240655	0.00765111334514805	0.00333380123526109
mdescubierto_preacordado	0.016897284145765	0.00188732442507025	0.00146511791128579
cpayroll_trx	0.0168727191492143	0.00772374979538279	0.00443044637843908
Visa_status	0.0131928713427567	0.00122957614705636	0.000780811341942729
mpasivos_margen	0.0119698392378755	0.00860381924981272	0.0103084643458731
mdescubierto_preacordado_delta1	0.0102590623612663	0.00444150593398022	0.00106155249859629
mactivos_margen	0.00864045432129107	0.00812739888970202	0.0132474733295901
cliente_edad	0.0085988550227356	0.00904479604183263	0.0151951151038742
mrentabilidad_annual	0.00843204768883084	0.00748792817535139	0.0119139528354857
numero_de_cliente	0.00842195640207085	0.010149563265241	0.0164759966311061
cproductos_delta1	0.00825232881643353	0.00470518252799965	0.00169322010106682
ctrx_quarter_delta1	0.0080249542376903	0.00719443883769935	0.0121596013475576
mrentabilidad_annual_delta1	0.00796966112487847	0.00621753831993943	0.012396476698484
ctarjeta_master	0.0077986425723691	0.000548590729336773	0.000359699606962381
cliente_edad_lag1	0.0076618708126424	0.00756382069274752	0.0128351347557552
Master_status	0.0074736797344353	0.00155420611951661	0.000614121280179674
Master_fechaalta	0.00696251252376795	0.00846793013914071	0.0115630263896687
mcuenta_corriente_lag1	0.00677159181736645	0.00808825695542538	0.0109927709152162
mprestamos_personales_delta1	0.00651266484719049	0.0092542063537271	0.0034478523301516
ctarjeta_visa	0.00644764871431169	0.000643499351886179	0.00064921392476137
Visa_fechaalta	0.00624506193462144	0.00509751330957522	0.00995753790005615
Master_Fvencimiento	0.00610043911337503	0.00538879925786163	0.0111770072992701
Visa_Fvencimiento_lag1	0.00600402923762017	0.00522242164344651	0.0108260808534531
Visa_Fvencimiento	0.00585551685538212	0.00810964422381352	0.011238419427288
ctarjeta_visa_trx	0.00562034391175573	0.0077483418199632	0.0112471925884335
Master_Fvencimiento_lag1	0.005557964083383	0.00414450634487265	0.0104137422796182
mcuentas_saldo_delta1	0.00541881392919207	0.007635354224789	0.0100189500280741
mcaja_ahorro_dolares_delta1	0.00538477741100458	0.00609824788719728	0.00636054183043234
mrentabilidad_annual_lag1	0.00537912746760492	0.00587312601891216	0.00883457327344189
Visa_fechaalta_lag1	0.00533870873905883	0.00489332838136651	0.00972943571027513
