Feature	Gain	Cover	Frequency
ctrx_quarter_normalizado	0.193597202281308	0.00935634309377693	0.00336144111013747
ctrx_quarter	0.0729000556105888	0.00457499706415319	0.00326088517949234
mcaja_ahorro	0.0536389106692477	0.00589928659638471	0.00525763865944579
mtarjeta_visa_consumo	0.051724482404566	0.00786399658453085	0.00291612198870901
mcuentas_saldo	0.0397483022422938	0.0133417170987212	0.00999813253271659
mdescubierto_preacordado	0.0270550625546755	0.00219705767927727	0.0010486547052993
mcuenta_corriente	0.0265805183039134	0.00605986907564072	0.0071107408099062
Visa_status_mean6	0.0203678291977751	0.00128495141053048	0.000991194173502076
foto_mes	0.0158967085211939	0.0318080891880493	0.0158447416430839
mpayroll	0.0157906947379095	0.0080461196184754	0.00198238834700415
cpayroll_trx	0.0146014716711306	0.00601298424615549	0.00135032249723471
mprestamos_personales	0.0129616326781	0.0127423308639939	0.00428080961889302
mdescubierto_preacordado_delta1	0.0120059666386527	0.00298891054005245	0.000861907976958327
ctarjeta_visa_trx	0.00932660979453724	0.00446817380882267	0.00261445419677359
mpasivos_margen	0.00882095282705639	0.00487481073425436	0.00397914182695761
mcuentas_saldo_mean6	0.0085000300167565	0.00334110133418849	0.00532946432419232
mpayroll_sobre_edad	0.00793898520596248	0.00444082772009434	0.00136468763018402
mv_status05_delta1	0.00764559724292605	0.000860856305206773	0.000502779653225691
mprestamos_personales_mean6	0.00732243561545476	0.00264460302843059	0.0021116745435479
mv_status01	0.00693269473410088	0.000715083950186996	0.000517144786174996
Visa_Finiciomora_mean6	0.00673119017923185	0.00278819851721446	0.00166635542211943
cproductos_delta1	0.00634224224658219	0.00476431092447138	0.00129286196543749
Visa_Finiciomora	0.0059906095408968	0.00252814915998667	0.000876273109907632
mprestamos_personales_delta1	0.00555424498544064	0.0105248911068709	0.00471176360737219
mactivos_margen_mean6	0.00554025506463794	0.00384677621003971	0.00521454326059788
mv_status07	0.00552729307190168	0.000632386444473242	0.000186746728340971
mv_mpagospesos	0.00549759796952911	0.000509745012948662	0.000804447445161105
mv_status04	0.0052394058605613	0.000770393941420869	0.000272937526036804
ccaja_ahorro	0.00510525013062303	0.00644543693984597	0.0023702469366354
mactivos_margen	0.00472897430292912	0.0069061983959223	0.0065935960237312
mprestamos_personales_lag1	0.00458388181318156	0.000918372426739565	0.00112048037004582
mv_Finiciomora	0.00458096593173123	0.00318271396370118	0.00129286196543749
cprestamos_personales_mean6	0.00449614993814519	0.0021985299276841	0.00268627986152012
Master_status	0.00445386840242485	0.000364656524876907	0.00015801646244236
mcaja_ahorro_dolares_delta1	0.00426069160873225	0.00654897600720014	0.00439573068248747
mv_msaldopesos	0.00416913627400451	0.00152983529418538	0.00126413169953888
Visa_Finiciomora_lag1	0.00381638070347154	0.0014537657566981	0.000445319121428469
cproductos	0.00357668746336143	0.00325619823024969	0.00383549049746455
mcuenta_corriente_mean6	0.00337836460239048	0.00915231822698401	0.0105009121859423
mv_Finiciomora_lag1	0.00337335217648758	0.00424048959316803	0.00140778302903193
mcaja_ahorro_lag1	0.00333884591613139	0.0051774041863002	0.0057891485785701
cpayroll_trx_mean6	0.00333561344447703	0.00178973817907697	0.00122103630069096
cprestamos_personales	0.00324551221979656	0.00121129330784658	0.00110611523709652
mcuenta_corriente_delta1	0.003228597563885	0.00380738480494081	0.0060620861046069
ctrx_quarter_delta1	0.00318355916270683	0.00391198444754515	0.0060620861046069
mv_status02_mean6	0.00307355065974515	0.000642104773765148	0.000746986913363883
mrentabilidad_annual_delta1	0.00300912493328561	0.0054346673006863	0.00979702067142631
thomebanking_mean6	0.00293086335090456	0.0027452955765743	0.00429517475184233
cliente_edad_lag1	0.00289246955345658	0.00783836947446535	0.0104434516541451
ccomisiones_mantenimiento_delta1	0.00284020386327446	0.00274637393829394	0.00169508568801804
mcuentas_saldo_delta1	0.0028320204511687	0.00973539989398668	0.00749859939953744
tmobile_app	0.00281275430497665	0.000682113232535722	0.000905003375806243
ctrx_quarter_normalizado_delta1	0.00275468306774493	0.00386703712706349	0.00530073405829371
cliente_edad_mean6	0.00274907111629014	0.00614222498992795	0.0102279746599055
mrentabilidad_mean6	0.0027171689259152	0.00274372421040598	0.00558803671727982
mrentabilidad_annual_mean6	0.00268400998361782	0.00663732968621645	0.00926551075230201
mautoservicio	0.00267435852044656	0.00260210674425057	0.00112048037004582
mpasivos_margen_mean6	0.00267185503553529	0.00278944904283732	0.00429517475184233
mdescubierto_preacordado_mean6	0.00250206208677157	0.00259550104711621	0.0026288193297229
Visa_status	0.00242826377748983	0.000247514684915092	0.00015801646244236
